team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Nuneaton,0,Luton Town,2,43,57,0,0,3,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,2,1,0,0,2
Rochdale,0,Morecambe,1,51,49,0,0,8,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,3,1,0,0,2
Slough,1,Mansfield Town,1,50,50,0,0,1,8,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,1,0,1,0
Walsall,2,Lincoln City,3,51,49,0,0,10,5,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,2,3,0,0,2
AFC Wimbledon,4,York City,3,43,57,0,0,10,10,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0,0,2,2,0,1,1
Burton Albion,3,Altrincham,3,50,50,0,0,11,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,0,1,2,0,0,0
Dorchester,1,Plymouth Argyle,0,47,53,0,0,5,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,3,4,0,1,1
Hereford FC,3,Shrewsbury Town,1,42,58,0,0,5,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,3,1,0,0,1
Boreham Wood,0,Brentford,2,45,55,0,0,2,12,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,2,0,0,0,2
AFC Fylde,1,Accrington Stanley,4,42,58,0,0,4,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
Aldershot Town,2,Hendon,1,53,47,0,0,5,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,2,1,0,0,1
Barnet,0,Oxford United,2,38,62,0,0,1,7,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,2
Bishops Stortford,1,Hastings United,2,50,50,0,0,4,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,2,0,0,0,2
Bournemouth,4,Dagenham & Redbridge,0,44,56,0,0,7,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,2,0,0,1
Bristol Rovers,1,Sheffield United,2,42,58,0,0,3,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,3,2,0,0,2
Bury,1,Exeter City,0,49,51,0,0,5,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,3,1,1,0,1
Carlisle United,4,Ebbsfleet United,2,57,43,0,0,7,4,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,2,0,0,1
Chelmsford,3,Colchester United,1,49,51,0,0,6,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2,0,0,0,1
Cheltenham Town,3,Yate,0,59,41,0,0,13,3,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,1
Chesterfield,6,Hartlepool United,1,60,40,0,0,9,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,2,0,0,1
Coventry City,3,Arlesey,0,56,44,0,0,14,5,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,1,2,0,0,1
