team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
St Mirren,2,Hamilton Academical,0,49,51,20,7,7,2,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,14,17,17,14,2,1,0,1,1
Rangers,2,Celtic,0,43,57,11,3,5,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,12,12,11,12,2,2,0,0,1
Kilmarnock,1,Hibernian,0,50,50,15,6,5,3,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,4,0,0,6,13,9,6,0,1,0,0,1
Livingston,0,Dundee,1,51,49,13,5,4,4,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,11,12,12,11,1,1,0,0,2
St Johnstone,2,Motherwell,0,51,49,10,5,5,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3,0,0,13,13,13,13,2,3,0,0,1
Inverness CT,1,Ayr United,1,57,43,5,8,3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,12,14,14,12,1,4,0,0,0
Aberdeen,2,Hearts,1,48,52,13,6,4,4,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,17,25,25,17,2,4,0,0,1
Ayr United,1,Inverness CT,3,55,45,8,8,4,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,14,16,16,14,2,2,0,0,2
Rangers,1,Hibernian,0,55,45,17,5,7,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6,0,0,8,13,13,8,0,3,1,0,1
Aberdeen,0,Celtic,3,43,57,12,12,3,7,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,6,3,0,0,11,7,7,11,3,3,0,0,2
Dundee,0,Hamilton Academical,1,48,52,8,13,2,5,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,4,2,0,0,10,10,10,10,0,1,0,0,2
Hearts,0,Kilmarnock,1,54,46,10,10,2,5,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,4,4,0,0,18,18,18,17,3,5,0,0,2
Motherwell,1,St Mirren,1,58,42,9,10,4,5,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,4,3,0,0,16,13,13,16,1,3,0,0,0
St Johnstone,1,Livingston,1,54,46,8,10,3,4,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,2,0,0,7,18,18,6,0,2,0,0,0
Hibernian,1,Hearts,1,51,49,9,5,4,4,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,4,0,0,14,20,19,13,2,7,0,0,0
Rangers,2,Aberdeen,0,66,34,16,4,6,1,5,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,4,0,0,12,12,12,11,1,2,0,1,1
Celtic,1,Kilmarnock,0,61,39,27,11,6,6,12,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,6,5,0,0,15,10,9,15,2,2,0,0,1
